model,window_id,source_file,class,label_index,vessel_group,split,start_seconds,end_seconds,predicted_label_index,predicted_class,probability_Cargo,probability_Passengership,probability_Tanker,probability_Tug,predicted_probability,confidence_margin,playback_command,noise_present,noise_type,vessel_audibility,ambiguity,confidence,notes
small_cnn,cargo-15-000065000ms,Cargo/15.wav,Cargo,0,new nada,test,65.0,70.0,2,Tanker,0.2791130244731903,0.2101984173059463,0.398826539516449,0.1118620336055755,0.398826539516449,0.11971351504325867,ffplay -nodisp -autoexit -ss 65.000 -t 5 data/raw/deepship/Cargo/15.wav,,,,,,
small_cnn,passengership-4-000095000ms,Passengership/4.wav,Passengership,1,malaspina,test,95.0,100.0,2,Tanker,0.3164161145687103,0.2681712210178375,0.3583290874958038,0.0570835806429386,0.3583290874958038,0.04191297292709345,ffplay -nodisp -autoexit -ss 95.000 -t 5 data/raw/deepship/Passengership/4.wav,,,,,,
small_cnn,tanker-50-000000000ms,Tanker/50.wav,Tanker,2,ocean reliance,test,0.0,5.0,0,Cargo,0.3548690676689148,0.2485330402851104,0.34295254945755,0.0536454021930694,0.3548690676689148,0.011916518211364802,ffplay -nodisp -autoexit -ss 0.000 -t 5 data/raw/deepship/Tanker/50.wav,,,,,,
small_cnn,tug-40-000130000ms,Tug/40.wav,Tug,3,seaspan commander,test,130.0,135.0,2,Tanker,0.2815735042095184,0.2470138072967529,0.3248049318790436,0.1466078609228134,0.3248049318790436,0.0432314276695252,ffplay -nodisp -autoexit -ss 130.000 -t 5 data/raw/deepship/Tug/40.wav,,,,,,
small_cnn,cargo-15-000080000ms,Cargo/15.wav,Cargo,0,new nada,test,80.0,85.0,2,Tanker,0.2776235044002533,0.2084603905677795,0.3896286487579345,0.1242874339222908,0.3896286487579345,0.11200514435768122,ffplay -nodisp -autoexit -ss 80.000 -t 5 data/raw/deepship/Cargo/15.wav,,,,,,
small_cnn,passengership-4-000100000ms,Passengership/4.wav,Passengership,1,malaspina,test,100.0,105.0,2,Tanker,0.3084438741207123,0.2759179770946502,0.3505562245845794,0.0650818794965744,0.3505562245845794,0.04211235046386713,ffplay -nodisp -autoexit -ss 100.000 -t 5 data/raw/deepship/Passengership/4.wav,,,,,,
small_cnn,tanker-19-000000000ms,Tanker/19.wav,Tanker,2,caribbean spirit,test,0.0,5.0,0,Cargo,0.3407236039638519,0.2941589951515198,0.3125607073307037,0.0525567457079887,0.3407236039638519,0.028162896633148193,ffplay -nodisp -autoexit -ss 0.000 -t 5 data/raw/deepship/Tanker/19.wav,,,,,,
small_cnn,tanker-50-000005000ms,Tanker/50.wav,Tanker,2,ocean reliance,test,5.0,10.0,0,Cargo,0.3379405736923218,0.24673393368721,0.3367117941379547,0.0786137729883194,0.3379405736923218,0.0012287795543670654,ffplay -nodisp -autoexit -ss 5.000 -t 5 data/raw/deepship/Tanker/50.wav,,,,,,
small_cnn,passengership-16-000005000ms,Passengership/16.wav,Passengership,1,malaspina,test,5.0,10.0,2,Tanker,0.3206309676170349,0.2789232432842254,0.3252739012241363,0.075171835720539,0.3252739012241363,0.004642933607101385,ffplay -nodisp -autoexit -ss 5.000 -t 5 data/raw/deepship/Passengership/16.wav,,,,,,
small_cnn,passengership-12-000000000ms,Passengership/12.wav,Passengership,1,malaspina,test,0.0,5.0,2,Tanker,0.3091756105422973,0.2802686393260956,0.3219656646251678,0.0885901302099227,0.3219656646251678,0.012790054082870483,ffplay -nodisp -autoexit -ss 0.000 -t 5 data/raw/deepship/Passengership/12.wav,,,,,,
