strategy,model,window_id,source_file,class,label_index,vessel_group,split,start_seconds,end_seconds,predicted_label_index,predicted_class,probability_Cargo,probability_Passengership,probability_Tanker,probability_Tug,maximum_probability,true_class_probability,correct,embedding_distance,rms,low_level,vessel_name,session_identifier,source_boundary,file,current_label,model_disagreement,embedding_outlier,low_rms,selection_reasons,playback_command,reviewer_confidence,target_audibility,overlapping_sources,category_ambiguity,boundary_metadata_concern,environmental_site_cue_concern,final_disposition,reviewer_notes
class_vessel_balanced_sampling,small_cnn,cargo-62-000190000ms,Cargo/62.wav,Cargo,0,anastasia,validation,190.0,195.0,2,Tanker,0.3840967714786529,0.1525349020957946,0.4443521499633789,0.0190161541104316,0.4443521499633789,0.3840967714786529,False,3.480954373807957,0.0034136695321649,False,ANASTASIA,Cargo-20171202-123015-62,True,Cargo/62.wav,Cargo,True,False,False,vessel_group_coverage;model_disagreement;source_boundary,ffplay -nodisp -autoexit -ss 190.000 -t 5 data/raw/deepship/Cargo/62.wav,,,,,,,,
class_vessel_balanced_sampling,small_cnn,tanker-41-000035000ms,Tanker/41.wav,Tanker,2,ardmore cheyenne,validation,35.0,40.0,0,Cargo,0.3579840958118438,0.3191663026809692,0.2967652380466461,0.0260843206197023,0.3579840958118438,0.2967652380466461,False,4.6849242849243655,0.0068800593726336,False,ARDMORE CHEYENNE,Tanker-20160927-081031-41,True,Tanker/41.wav,Tanker,True,False,False,vessel_group_coverage;model_disagreement;source_boundary,ffplay -nodisp -autoexit -ss 35.000 -t 5 data/raw/deepship/Tanker/41.wav,,,,,,,,
class_vessel_balanced_sampling,small_cnn,tanker-14-000000000ms,Tanker/14.wav,Tanker,2,argent sunrise,train,0.0,5.0,0,Cargo,0.3826284408569336,0.2680927813053131,0.3379797637462616,0.0112990578636527,0.3826284408569336,0.3379797637462616,False,4.914791543686376,0.0034313341602683,False,ARGENT SUNRISE,Tanker-20160615-063659-14,True,Tanker/14.wav,Tanker,True,False,False,vessel_group_coverage;model_disagreement;source_boundary,ffplay -nodisp -autoexit -ss 0.000 -t 5 data/raw/deepship/Tanker/14.wav,,,,,,,,
class_vessel_balanced_sampling,small_cnn,cargo-38-000000000ms,Cargo/38.wav,Cargo,0,aries leader,train,0.0,5.0,2,Tanker,0.3387407958507538,0.209397941827774,0.3505050539970398,0.1013561487197876,0.3505050539970398,0.3387407958507538,False,7.619038089641307,0.0101140849292278,False,ARIES LEADER,Cargo-20171123-004508-38,True,Cargo/38.wav,Cargo,True,False,False,vessel_group_coverage;model_disagreement;source_boundary,ffplay -nodisp -autoexit -ss 0.000 -t 5 data/raw/deepship/Cargo/38.wav,,,,,,,,
class_vessel_balanced_sampling,small_cnn,passengership-23-000000000ms,Passengership/23.wav,Passengership,1,bowen queen,train,0.0,5.0,0,Cargo,0.393118143081665,0.2782632708549499,0.3157565295696258,0.0128621282055974,0.393118143081665,0.2782632708549499,False,3.938732222060298,0.0077623124234378,False,BOWEN QUEEN,Passengership-20160629-135115-23,True,Passengership/23.wav,Passengership,True,False,False,vessel_group_coverage;model_disagreement;source_boundary,ffplay -nodisp -autoexit -ss 0.000 -t 5 data/raw/deepship/Passengership/23.wav,,,,,,,,
class_vessel_balanced_sampling,small_cnn,cargo-99-000135000ms,Cargo/99.wav,Cargo,0,brazen,train,135.0,140.0,2,Tanker,0.3950220942497253,0.1845268756151199,0.4110040068626404,0.0094470316544175,0.4110040068626404,0.3950220942497253,False,5.393225770773551,0.0335805490612983,False,BRAZEN,Cargo-20171213-234857-99,False,Cargo/99.wav,Cargo,True,False,False,vessel_group_coverage;model_disagreement,ffplay -nodisp -autoexit -ss 135.000 -t 5 data/raw/deepship/Cargo/99.wav,,,,,,,,
class_vessel_balanced_sampling,small_cnn,tanker-19-000005000ms,Tanker/19.wav,Tanker,2,caribbean spirit,test,5.0,10.0,0,Cargo,0.4057664275169372,0.3005961775779724,0.2750895619392395,0.0185478646308183,0.4057664275169372,0.2750895619392395,False,3.14793222224943,0.0105127710849046,False,CARIBBEAN SPIRIT,Tanker-20160625-141954-19,True,Tanker/19.wav,Tanker,True,False,False,vessel_group_coverage;model_disagreement;source_boundary,ffplay -nodisp -autoexit -ss 5.000 -t 5 data/raw/deepship/Tanker/19.wav,,,,,,,,
class_vessel_balanced_sampling,small_cnn,passengership-9-000005000ms,Passengership/9.wav,Passengership,1,carnival legend,validation,5.0,10.0,3,Tug,0.2549351453781128,0.1474739909172058,0.2525953948497772,0.3449954390525818,0.3449954390525818,0.1474739909172058,False,12.63321329406652,0.0037892137188464,False,CARNIVAL LEGEND,Passengership-20160516-112116-9,True,Passengership/9.wav,Passengership,True,True,False,vessel_group_coverage;model_disagreement;embedding_outlier;source_boundary,ffplay -nodisp -autoexit -ss 5.000 -t 5 data/raw/deepship/Passengership/9.wav,,,,,,,,
class_vessel_balanced_sampling,small_cnn,passengership-41-000000000ms,Passengership/41.wav,Passengership,1,celebrity solstice,train,0.0,5.0,1,Passengership,0.3402821123600006,0.4153462946414947,0.2263692766427993,0.0180022623389959,0.4153462946414947,0.4153462946414947,True,5.240495322293704,0.0038724611513316,False,CELEBRITY SOLSTICE,Passengership-20160909-114625-41,True,Passengership/41.wav,Passengership,False,False,False,vessel_group_coverage;source_boundary,ffplay -nodisp -autoexit -ss 0.000 -t 5 data/raw/deepship/Passengership/41.wav,,,,,,,,
class_vessel_balanced_sampling,small_cnn,tanker-6-000165000ms,Tanker/6.wav,Tanker,2,champion ebony,train,165.0,170.0,0,Cargo,0.3729805052280426,0.2453738898038864,0.3683657646179199,0.0132798729464411,0.3729805052280426,0.3683657646179199,False,4.542303979350093,0.0056120888330042,False,CHAMPION EBONY,Tanker-20160526-193813-6,True,Tanker/6.wav,Tanker,True,False,False,vessel_group_coverage;model_disagreement;source_boundary,ffplay -nodisp -autoexit -ss 165.000 -t 5 data/raw/deepship/Tanker/6.wav,,,,,,,,
