file,class,duration_seconds,sample_rate_hz,source_recording,vessel_name,session_identifier
Cargo/103.wav,Cargo,199.0,32000,103,SEASPAN SWIFT,Cargo-20171214-213748-103
Cargo/110.wav,Cargo,202.0,32000,110,SEASPAN SWIFT,Cargo-20171215-214529-110
Cargo/15.wav,Cargo,187.0,32000,15,NEW NADA,Cargo-20171114-195740-15
Cargo/27.wav,Cargo,196.0,32000,27,SEASPAN RELIANT,Cargo-20171118-055532-27
Cargo/38.wav,Cargo,196.0,32000,38,ARIES LEADER,Cargo-20171123-004508-38
Cargo/41.wav,Cargo,183.0,32000,41,PRINCESS SUPERIOR,Cargo-20171124-134001-41
Cargo/44.wav,Cargo,200.0,32000,44,WESTWOOD COLUMBIA,Cargo-20171125-120743-44
Cargo/62.wav,Cargo,198.0,32000,62,ANASTASIA,Cargo-20171202-123015-62
Cargo/69.wav,Cargo,184.0,32000,69,PRINCESS SUPERIOR,Cargo-20171205-030344-69
Cargo/78.wav,Cargo,194.0,32000,78,CMA CGM,Cargo-20171207-010450-78
Cargo/96.wav,Cargo,199.0,32000,96,STAR HARMONIA,Cargo-20171213-154210-96
Cargo/99.wav,Cargo,186.0,32000,99,BRAZEN,Cargo-20171213-234857-99
Passengership/1.wav,Passengership,37.0,32000,1,QUEEN OF,Passengership-20160505-125658-1
Passengership/12.wav,Passengership,18.0,32000,12,MALASPINA,Passengership-20160528-040358-12
Passengership/14.wav,Passengership,48.0,32000,14,QUEEN OF,Passengership-20160601-035047-14
Passengership/16.wav,Passengership,11.0,32000,16,MALASPINA,Passengership-20160604-040249-16
Passengership/17.wav,Passengership,26.0,32000,17,COASTAL RENAISSANCE,Passengership-20160606-153056-17
Passengership/23.wav,Passengership,130.0,32000,23,BOWEN QUEEN,Passengership-20160629-135115-23
Passengership/27.wav,Passengership,33.0,32000,27,KENNICOTT,Passengership-20160724-035758-27
Passengership/29.wav,Passengership,36.0,32000,29,CRYSTAL SERENITY,Passengership-20160727-111808-29
Passengership/30.wav,Passengership,6.0,32000,30,COLUMBIA,Passengership-20160806-035410-30
Passengership/31.wav,Passengership,16.0,32000,31,KENNICOTT,Passengership-20160807-043508-31
Passengership/32.wav,Passengership,54.0,32000,32,COLUMBIA,Passengership-20160813-040611-32
Passengership/33.wav,Passengership,112.0,32000,33,COASTAL INSPIRATION,Passengership-20160820-202935-33
Passengership/37.wav,Passengership,162.0,32000,37,COLUMBIA,Passengership-20160827-043733-37
Passengership/4.wav,Passengership,204.0,32000,4,MALASPINA,Passengership-20160507-043512-4
Passengership/41.wav,Passengership,23.0,32000,41,CELEBRITY SOLSTICE,Passengership-20160909-114625-41
Passengership/5.wav,Passengership,14.0,32000,5,RUBY PRINCESS,Passengership-20160507-115325-5
Passengership/50.wav,Passengership,163.0,32000,50,COASTAL INSPIRATION,Passengership-20161214-162017-50
Passengership/6.wav,Passengership,30.0,32000,6,COASTAL INSPIRATION,Passengership-20160507-202625-6
Passengership/8.wav,Passengership,12.0,32000,8,KENNICOTT,Passengership-20160515-062337-8
Passengership/9.wav,Passengership,11.0,32000,9,CARNIVAL LEGEND,Passengership-20160516-112116-9
Tanker/10.wav,Tanker,30.0,32000,10,NAVE ORBIT,Tanker-20160602-225434-10
Tanker/12.wav,Tanker,33.0,32000,12,KIRKEHOLMEN,Tanker-20160612-211030-12
Tanker/13.wav,Tanker,157.0,32000,13,HIGH ENDURANCE,Tanker-20160613-061037-13
Tanker/14.wav,Tanker,25.0,32000,14,ARGENT SUNRISE,Tanker-20160615-063659-14
Tanker/18.wav,Tanker,66.0,32000,18,OVERSEAS ATHENS,Tanker-20160619-215854-18
Tanker/19.wav,Tanker,14.0,32000,19,CARIBBEAN SPIRIT,Tanker-20160625-141954-19
Tanker/2.wav,Tanker,150.0,32000,2,CHERRY GALAXY,Tanker-20160511-030034-2
Tanker/20.wav,Tanker,104.0,32000,20,CHEMICAL AQUARIUS,Tanker-20160702-225342-20
Tanker/21.wav,Tanker,16.0,32000,21,CHEMICAL AQUARIUS,Tanker-20160702-225342-21
Tanker/24.wav,Tanker,21.0,32000,24,HIGH ENDURANCE,Tanker-20160710-104049-24
Tanker/29.wav,Tanker,109.0,32000,29,HIGH ENDURANCE,Tanker-20160724-025459-29
Tanker/30.wav,Tanker,33.0,32000,30,NORD STEADY,Tanker-20160808-203415-30
Tanker/32.wav,Tanker,38.0,32000,32,KIRKEHOLMEN,Tanker-20160810-215541-32
Tanker/33.wav,Tanker,16.0,32000,33,EMMA VICTORY,Tanker-20160823-041452-33
Tanker/35.wav,Tanker,16.0,32000,35,KIRKEHOLMEN,Tanker-20160831-210639-35
Tanker/38.wav,Tanker,174.0,32000,38,YANKUL SILVER,Tanker-20160907-094356-38
Tanker/39.wav,Tanker,129.0,32000,39,FUJI GALAXY,Tanker-20160910-190037-39
Tanker/41.wav,Tanker,44.0,32000,41,ARDMORE CHEYENNE,Tanker-20160927-081031-41
Tanker/42.wav,Tanker,70.0,32000,42,CHEMBULK NEW,Tanker-20161002-130331-42
Tanker/43.wav,Tanker,28.0,32000,43,KIRKEHOLMEN,Tanker-20161005-075627-43
Tanker/47.wav,Tanker,21.0,32000,47,CHERRY GALAXY,Tanker-20161024-061514-47
Tanker/48.wav,Tanker,37.0,32000,48,SILVER MUNA,Tanker-20161027-145435-48
Tanker/49.wav,Tanker,38.0,32000,49,KIRKEHOLMEN,Tanker-20161030-043924-49
Tanker/5.wav,Tanker,47.0,32000,5,LYNDA VICTORY,Tanker-20160519-123958-5
