window_id,source_file,class,label_index,vessel_name,vessel_group,session_identifier,split,start_seconds,end_seconds,source_sample_rate_hz,config_hash
cargo-103-000000000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,0.000,5.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000005000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,5.000,10.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000010000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,10.000,15.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000015000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,15.000,20.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000020000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,20.000,25.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000025000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,25.000,30.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000030000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,30.000,35.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000035000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,35.000,40.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000040000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,40.000,45.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000045000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,45.000,50.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000050000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,50.000,55.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
cargo-103-000055000ms,Cargo/103.wav,Cargo,0,SEASPAN SWIFT,seaspan swift,Cargo-20171214-213748-103,train,55.000,60.000,32000,a096d5adb0f3e91e4b529c2a1eab4104386318f9825cc05a39470d410e2f4cba
