model,true_class,predicted_class,count
logistic_regression,Cargo,Cargo,3
logistic_regression,Cargo,Passengership,0
logistic_regression,Cargo,Tanker,34
logistic_regression,Cargo,Tug,0
logistic_regression,Passengership,Cargo,4
logistic_regression,Passengership,Passengership,40
logistic_regression,Passengership,Tanker,1
logistic_regression,Passengership,Tug,0
logistic_regression,Tanker,Cargo,1
logistic_regression,Tanker,Passengership,3
logistic_regression,Tanker,Tanker,9
logistic_regression,Tanker,Tug,0
logistic_regression,Tug,Cargo,0
logistic_regression,Tug,Passengership,30
logistic_regression,Tug,Tanker,9
logistic_regression,Tug,Tug,1
random_forest,Cargo,Cargo,0
random_forest,Cargo,Passengership,0
random_forest,Cargo,Tanker,37
random_forest,Cargo,Tug,0
random_forest,Passengership,Cargo,4
random_forest,Passengership,Passengership,15
random_forest,Passengership,Tanker,26
random_forest,Passengership,Tug,0
random_forest,Tanker,Cargo,2
random_forest,Tanker,Passengership,0
random_forest,Tanker,Tanker,11
random_forest,Tanker,Tug,0
random_forest,Tug,Cargo,0
random_forest,Tug,Passengership,1
random_forest,Tug,Tanker,39
random_forest,Tug,Tug,0
