class,label_index,feature,standardized_coefficient,positive_rank,negative_rank
Cargo,0,rms,0.39508146421402596,12,62
Cargo,0,crest_factor,-0.6602893412215882,64,10
Cargo,0,zero_crossing_rate,0.146502265847564,27,47
Cargo,0,spectral_centroid_hz_mean,-0.17804155650909886,48,26
Cargo,0,spectral_bandwidth_hz_mean,-0.36405713527833866,59,15
Cargo,0,spectral_rolloff_85_hz_mean,-0.3648351360955939,60,14
Cargo,0,spectral_flatness_mean,0.7096267092902114,4,70
Cargo,0,spectral_centroid_hz_std,0.13186245588232204,28,46
Cargo,0,spectral_bandwidth_hz_std,0.40442834744491196,10,64
Cargo,0,spectral_rolloff_85_hz_std,-1.2146861940284077,72,2
Cargo,0,spectral_flatness_std,-0.1428753745638162,47,27
Cargo,0,band_energy_ratio_10_50_hz,-0.1042255883178318,44,30
Cargo,0,band_energy_ratio_50_100_hz,0.31915122713469307,16,58
Cargo,0,band_energy_ratio_100_250_hz,0.37809297385699403,14,60
Cargo,0,band_energy_ratio_250_500_hz,-0.7907191077707243,66,8
Cargo,0,band_energy_ratio_500_1000_hz,0.38463747233192497,13,61
Cargo,0,band_energy_ratio_1000_2000_hz,-1.017851701051439,69,5
Cargo,0,band_energy_ratio_2000_4000_hz,0.5398310529938374,9,65
Cargo,0,band_energy_ratio_4000_8000_hz,0.3028449046989671,17,57
Cargo,0,dominant_peak_1_frequency_hz,0.10534217164965266,31,43
Cargo,0,dominant_peak_1_relative_power,1.0156804253441574,2,72
Cargo,0,dominant_peak_2_frequency_hz,0.07764398939517254,33,41
Cargo,0,dominant_peak_2_relative_power,-0.22878741434421346,51,23
Cargo,0,dominant_peak_3_frequency_hz,-0.01770691395490846,41,33
Cargo,0,dominant_peak_3_relative_power,-0.2645142674216717,52,22
Cargo,0,dominant_peak_4_frequency_hz,0.03427694821951932,36,38
Cargo,0,dominant_peak_4_relative_power,-0.39547311627537574,61,13
Cargo,0,dominant_peak_5_frequency_hz,0.00986550177246634,39,35
Cargo,0,dominant_peak_5_relative_power,0.6197557131130065,6,68
Cargo,0,detected_peak_count,0.21633710723257468,22,52
Cargo,0,mfcc_1_mean,-0.040720321694599416,43,31
Cargo,0,mfcc_2_mean,0.1927043262882135,23,51
Cargo,0,mfcc_3_mean,-1.2421462183410408,73,1
Cargo,0,mfcc_4_mean,0.5748676718533262,8,66
Cargo,0,mfcc_5_mean,0.2281047675394554,20,54
Cargo,0,mfcc_6_mean,0.06235089707134036,34,40
Cargo,0,mfcc_7_mean,0.18698854198841527,24,50
Cargo,0,mfcc_8_mean,0.5813438907748044,7,67
Cargo,0,mfcc_9_mean,0.0338264406195751,37,37
Cargo,0,mfcc_10_mean,-0.28713356401166473,53,21
Cargo,0,mfcc_11_mean,-0.29130262371647764,55,19
Cargo,0,mfcc_12_mean,0.2264793379397045,21,53
Cargo,0,mfcc_13_mean,-0.2879752377747328,54,20
Cargo,0,mfcc_14_mean,-0.5818328068884863,63,11
Cargo,0,mfcc_15_mean,-0.805279662501188,67,7
Cargo,0,mfcc_16_mean,-0.40234548893263083,62,12
Cargo,0,mfcc_17_mean,-0.8244800954511717,68,6
Cargo,0,mfcc_18_mean,-0.6701894024502196,65,9
Cargo,0,mfcc_19_mean,0.7766915343303259,3,71
Cargo,0,mfcc_20_mean,-1.0661957098241661,70,4
Cargo,0,mfcc_1_std,1.043043426844222,1,73
Cargo,0,mfcc_2_std,0.11994259897416953,29,45
Cargo,0,mfcc_3_std,-1.0673215989789218,71,3
Cargo,0,mfcc_4_std,0.2882752527439644,18,56
Cargo,0,mfcc_5_std,-0.31239307212253836,56,18
Cargo,0,mfcc_6_std,-0.3171307718062249,57,17
Cargo,0,mfcc_7_std,-0.21812906682151265,49,25
Cargo,0,mfcc_8_std,-0.13903818142307398,46,28
Cargo,0,mfcc_9_std,0.35291576670372754,15,59
Cargo,0,mfcc_10_std,-0.22553852883088804,50,24
Cargo,0,mfcc_11_std,-0.12557693133247247,45,29
Cargo,0,mfcc_12_std,0.2611297379119918,19,55
Cargo,0,mfcc_13_std,0.02469930515991618,38,36
Cargo,0,mfcc_14_std,0.1642306353387646,25,49
Cargo,0,mfcc_15_std,0.10153000209479077,32,42
Cargo,0,mfcc_16_std,0.059772904677308746,35,39
Cargo,0,mfcc_17_std,0.004007372104183792,40,34
Cargo,0,mfcc_18_std,0.15223281271582206,26,48
Cargo,0,mfcc_19_std,-0.037260452540489944,42,32
Cargo,0,mfcc_20_std,0.4016640017908345,11,63
Cargo,0,spectral_flux_mean,0.1103443424576915,30,44
Cargo,0,spectral_flux_std,0.6829895220408587,5,69
Cargo,0,spectral_flux_max,-0.33486491825616344,58,16
Passengership,1,rms,-0.4081894769588895,56,18
Passengership,1,crest_factor,0.26877170312838816,14,60
Passengership,1,zero_crossing_rate,-0.1468877971172103,47,27
Passengership,1,spectral_centroid_hz_mean,0.29539741139411924,12,62
Passengership,1,spectral_bandwidth_hz_mean,0.7507311937510013,3,71
Passengership,1,spectral_rolloff_85_hz_mean,-0.29967321028057864,52,22
Passengership,1,spectral_flatness_mean,-0.0008934557707932974,36,38
Passengership,1,spectral_centroid_hz_std,-0.6528839262197236,64,10
Passengership,1,spectral_bandwidth_hz_std,-0.5185074352932177,59,15
Passengership,1,spectral_rolloff_85_hz_std,0.6429779592336274,5,69
Passengership,1,spectral_flatness_std,-0.2693036470813152,51,23
Passengership,1,band_energy_ratio_10_50_hz,-0.24886214303135046,50,24
Passengership,1,band_energy_ratio_50_100_hz,1.2465978799823496,1,73
Passengership,1,band_energy_ratio_100_250_hz,-1.532367168201814,73,1
Passengership,1,band_energy_ratio_250_500_hz,0.13608906314049043,24,50
Passengership,1,band_energy_ratio_500_1000_hz,0.23407450419010406,16,58
Passengership,1,band_energy_ratio_1000_2000_hz,0.07168000060110527,27,47
Passengership,1,band_energy_ratio_2000_4000_hz,-0.6467820569578684,63,11
Passengership,1,band_energy_ratio_4000_8000_hz,-0.7910465582566226,66,8
Passengership,1,dominant_peak_1_frequency_hz,-0.013963722057367232,38,36
Passengership,1,dominant_peak_1_relative_power,-0.1332465731526431,46,28
Passengership,1,dominant_peak_2_frequency_hz,0.11381975019209499,25,49
Passengership,1,dominant_peak_2_relative_power,-0.08721251713796646,42,32
Passengership,1,dominant_peak_3_frequency_hz,0.2695653288279659,13,61
Passengership,1,dominant_peak_3_relative_power,0.33549823274065066,11,63
Passengership,1,dominant_peak_4_frequency_hz,-0.0011612793088969717,37,37
Passengership,1,dominant_peak_4_relative_power,-0.0655507877636935,41,33
Passengership,1,dominant_peak_5_frequency_hz,0.1854232327409283,18,56
Passengership,1,dominant_peak_5_relative_power,-1.1833868121040465,72,2
Passengership,1,detected_peak_count,0.2579106564542046,15,59
Passengership,1,mfcc_1_mean,-0.061003051267566236,40,34
Passengership,1,mfcc_2_mean,0.3642206771527206,9,65
Passengership,1,mfcc_3_mean,0.01571138232821755,34,40
Passengership,1,mfcc_4_mean,-0.9762914546182586,71,3
Passengership,1,mfcc_5_mean,-0.5172018564494094,58,16
Passengership,1,mfcc_6_mean,0.4767001698443132,8,66
Passengership,1,mfcc_7_mean,0.14403975401882363,23,51
Passengership,1,mfcc_8_mean,-0.8215592913603438,68,6
Passengership,1,mfcc_9_mean,-0.7094852101950267,65,9
Passengership,1,mfcc_10_mean,-0.1252413723137496,45,29
