feature,importance_mean,importance_std
spectral_centroid_hz_std,0.02487712073204326,0.006300005208325733
spectral_flatness_std,0.024431340785050628,0.007262650996285569
spectral_flux_mean,0.014948584586396432,0.00926242079496754
mfcc_17_mean,0.011986121361009162,0.016473803790451432
mfcc_10_mean,0.007682929753651413,0.005585807648644168
spectral_rolloff_85_hz_mean,0.004539304176452942,0.006336889419098334
spectral_bandwidth_hz_std,0.0039838773305233156,0.004302934784242441
dominant_peak_5_relative_power,0.003112802111767335,0.006319553579945458
mfcc_9_mean,0.0029242869564891833,0.009403553675900305
mfcc_7_mean,0.002549676490511113,0.006969524204709756
mfcc_11_std,0.002491028425620373,0.0037894450970770038
mfcc_14_std,0.002247761015887277,0.003188567152215337
mfcc_12_mean,0.0021313981544769252,0.008202041334457805
mfcc_2_mean,0.0021260654476352252,0.00475766725650308
mfcc_5_std,0.0019495987046076913,0.003586210598681773
spectral_bandwidth_hz_mean,0.0016108130813350344,0.0050186405829806225
band_energy_ratio_4000_8000_hz,0.0012470327429600955,0.006996358966965525
mfcc_12_std,0.0009146681222902394,0.00654942308982664
mfcc_8_std,0.0006278614288408646,0.004511043000199386
dominant_peak_4_relative_power,0.0006275305267983533,0.005088065564556469
mfcc_3_std,0.0004226830419651273,0.003094928112124144
mfcc_15_std,0.00016746049890533493,0.004198562498623909
mfcc_9_std,-6.598744740129864e-05,0.005636981433028666
spectral_flux_std,-0.0003191606121641308,0.004997814472534017
mfcc_16_mean,-0.00074113553302535,0.009444106318249141
mfcc_10_std,-0.0009839575283114826,0.005396188680785784
mfcc_15_mean,-0.001012770795270629,0.0063141419356899315
dominant_peak_3_frequency_hz,-0.0012301758918206631,0.006151339494877741
spectral_rolloff_85_hz_std,-0.0012338401216194256,0.0061122970505844655
mfcc_19_std,-0.0012894734872907362,0.004393649476421168
spectral_flux_max,-0.0013666085230199826,0.005215153541818472
detected_peak_count,-0.0017630265430417387,0.0026473305919471864
band_energy_ratio_1000_2000_hz,-0.0019913953603662173,0.008267947729984144
mfcc_20_std,-0.0019948624609821886,0.005016670604115196
mfcc_18_mean,-0.0022589966627966987,0.008019292065933728
mfcc_16_std,-0.0023833597223508972,0.004600243350533473
mfcc_17_std,-0.002704858343062311,0.0049001778487522225
band_energy_ratio_250_500_hz,-0.002842962692435773,0.007062334455725016
mfcc_18_std,-0.003048428572437456,0.003118187081684853
crest_factor,-0.003370892313771197,0.005366086848960698
spectral_flatness_mean,-0.003372603483430642,0.006377716011009594
band_energy_ratio_10_50_hz,-0.0034454618023464475,0.005182722028269833
mfcc_7_std,-0.003772596483846902,0.0058900928605551415
band_energy_ratio_50_100_hz,-0.003880223681696529,0.005926762346830261
band_energy_ratio_500_1000_hz,-0.003927474182603484,0.004371039517650585
dominant_peak_2_relative_power,-0.00401272836803415,0.005837202054425703
mfcc_2_std,-0.0044130041606310995,0.005235542593919069
band_energy_ratio_2000_4000_hz,-0.004726269536528861,0.007829496263073
zero_crossing_rate,-0.00500198653344371,0.006173640157788296
mfcc_6_std,-0.005090676447277999,0.004511170439228911
mfcc_19_mean,-0.005427641967344303,0.004590253259623706
band_energy_ratio_100_250_hz,-0.005769614700624924,0.008551660935451543
mfcc_4_std,-0.0064987594137641755,0.005642584086950181
dominant_peak_1_frequency_hz,-0.006543212939056034,0.006265253628923087
mfcc_5_mean,-0.00671468786673154,0.005933165136856686
mfcc_11_mean,-0.006933437229842234,0.004922408339139249
mfcc_13_std,-0.0069740542259565195,0.005689850887425337
dominant_peak_5_frequency_hz,-0.0077088016610907615,0.00665674514264764
rms,-0.007761583670908426,0.0061346690330151355
dominant_peak_3_relative_power,-0.008280150230148333,0.007405075965977228
dominant_peak_4_frequency_hz,-0.008516190860702825,0.005744807408255679
dominant_peak_2_frequency_hz,-0.008897838003591441,0.0055814681818067945
mfcc_1_std,-0.009025237729406433,0.006305477895229717
mfcc_13_mean,-0.009511947656607057,0.007693497185710042
mfcc_8_mean,-0.009523348081799051,0.008549409486631113
mfcc_3_mean,-0.009822828890933843,0.009187211292656119
dominant_peak_1_relative_power,-0.011776132918541148,0.00617369475188508
mfcc_20_mean,-0.012500552860924483,0.00602411735049888
mfcc_1_mean,-0.013782979245746068,0.008427315731147272
mfcc_14_mean,-0.014189198929765107,0.006917679236214453
spectral_centroid_hz_mean,-0.014644130706905423,0.004678940613037306
mfcc_6_mean,-0.018921671771532488,0.0046048492418359795
mfcc_4_mean,-0.027775113888910064,0.008258661221652128
