split,class,windows,accuracy,mean_maximum_probability,mean_embedding_distance
test,Cargo,37,0.0,0.49817671002568426,4.226285722279099
test,Passengership,45,0.0,0.40872349540392555,3.743982631935345
test,Tanker,13,0.6923076923076923,0.4005368260236887,2.9282310731951986
test,Tug,40,0.0,0.38277958407998086,6.993180629397807
train,Cargo,345,0.7942028985507247,0.40234745611315187,5.0188187155007284
train,Passengership,167,0.25149700598802394,0.3807653966778053,4.505483348028644
train,Tanker,279,0.5663082437275986,0.4206818657323024,5.697081889376691
train,Tug,38,1.0,0.8720711704931761,3.323074849129018
validation,Cargo,77,0.6363636363636364,0.40184889249987416,3.8508609270051926
validation,Passengership,9,0.3333333333333333,0.3515000575118595,7.861542764220726
validation,Tanker,28,0.21428571428571427,0.35434734182698385,6.445530937993392
validation,Tug,40,0.2,0.3459338240325451,10.11342445204503
