split,class,source_file,windows,accuracy,mean_maximum_probability,mean_embedding_distance
test,Cargo,Cargo/15.wav,37,0.0,0.49817671002568426,4.226285722279099
test,Passengership,Passengership/12.wav,3,0.0,0.3834679126739502,2.817383504278174
test,Passengership,Passengership/16.wav,2,0.0,0.3787284642457962,4.1837320546526175
test,Passengership,Passengership/4.wav,40,0.0,0.4121174156665802,3.7914900953737694
test,Tanker,Tanker/19.wav,2,0.0,0.40798234939575195,3.140684559311297
test,Tanker,Tanker/5.wav,9,1.0,0.3927667240301768,2.96583101011305
test,Tanker,Tanker/50.wav,2,0.0,0.4280567616224289,2.5465778709487665
test,Tug,Tug/40.wav,40,0.0,0.38277958407998086,6.993180629397807
train,Cargo,Cargo/103.wav,39,0.41025641025641024,0.409951103803439,5.747713310318528
train,Cargo,Cargo/110.wav,40,0.25,0.4326191708445549,5.234813198506969
train,Cargo,Cargo/27.wav,39,0.9743589743589743,0.39917037960810536,7.0700406699060006
train,Cargo,Cargo/38.wav,39,0.717948717948718,0.37299829492202174,4.4995696842671284
train,Cargo,Cargo/41.wav,36,1.0,0.4064691389600436,7.2237570572432
train,Cargo,Cargo/44.wav,40,0.9,0.3968002267181873,2.9313808623816455
train,Cargo,Cargo/69.wav,36,1.0,0.3901722522245513,3.0851509600883045
train,Cargo,Cargo/96.wav,39,1.0,0.392953702272513,3.299017474566125
train,Cargo,Cargo/99.wav,37,0.9459459459459459,0.4196254224390597,6.207748685541054
train,Passengership,Passengership/1.wav,7,0.42857142857142855,0.36934666122709003,4.206880296997764
train,Passengership,Passengership/14.wav,9,0.0,0.33776211076312596,5.547449345168406
train,Passengership,Passengership/17.wav,5,0.0,0.391816234588623,3.2090408294738184
train,Passengership,Passengership/23.wav,26,0.0,0.3955749009664242,3.1737709836127346
train,Passengership,Passengership/27.wav,6,0.0,0.3997037559747696,8.640314967744827
train,Passengership,Passengership/30.wav,1,0.0,0.43860387802124023,7.753261146522063
train,Passengership,Passengership/31.wav,3,0.0,0.38402754068374634,3.5799434944756285
train,Passengership,Passengership/32.wav,10,0.0,0.4057547301054001,3.136622124596181
train,Passengership,Passengership/33.wav,22,0.7272727272727273,0.37918493964455346,3.598945492427396
train,Passengership,Passengership/37.wav,32,0.0,0.39104949217289686,4.8453016473144555
train,Passengership,Passengership/41.wav,4,1.0,0.42252828925848007,5.85755366070228
train,Passengership,Passengership/5.wav,2,0.0,0.3665195107460022,3.8254604254461677
train,Passengership,Passengership/50.wav,32,0.53125,0.3614468593150377,5.000158212822405
train,Passengership,Passengership/6.wav,6,0.0,0.3462834159533183,6.812218463578841
train,Passengership,Passengership/8.wav,2,1.0,0.37462304532527924,3.2950489493234763
train,Tanker,Tanker/10.wav,6,1.0,0.41520223518212634,2.4052355914930295
train,Tanker,Tanker/12.wav,6,0.6666666666666666,0.40072248379389447,2.464687690196801
train,Tanker,Tanker/13.wav,31,1.0,0.528724992467511,5.390943343218158
train,Tanker,Tanker/14.wav,5,0.0,0.38068367838859557,5.28078231064774
train,Tanker,Tanker/2.wav,30,0.0,0.39399467209974925,5.348443198591072
train,Tanker,Tanker/20.wav,20,0.75,0.4085755407810211,2.9790351699020703
train,Tanker,Tanker/21.wav,3,1.0,0.482958455880483,4.349835683463422
train,Tanker,Tanker/24.wav,4,0.0,0.40571311861276627,4.840026279669122
train,Tanker,Tanker/29.wav,21,0.9523809523809523,0.4189700044336773,5.427114899439239
train,Tanker,Tanker/30.wav,6,1.0,0.43364990254243213,3.949093283124386
train,Tanker,Tanker/32.wav,7,0.14285714285714285,0.3893794502530779,3.399571550568375
train,Tanker,Tanker/33.wav,3,0.3333333333333333,0.4391782184441884,10.805246888168591
train,Tanker,Tanker/35.wav,3,1.0,0.4876043101151784,6.930776822552556
train,Tanker,Tanker/38.wav,34,0.8235294117647058,0.42279372057493997,10.535348667894786
train,Tanker,Tanker/39.wav,25,0.96,0.41144470930099486,7.26961995954686
train,Tanker,Tanker/42.wav,14,0.07142857142857142,0.40755741723946165,5.086117043833885
train,Tanker,Tanker/43.wav,5,0.0,0.41054463386535645,2.754685467103628
train,Tanker,Tanker/47.wav,4,0.0,0.37105778604745865,3.03604221555578
train,Tanker,Tanker/49.wav,7,0.0,0.40186347705977304,5.25727495060313
train,Tanker,Tanker/6.wav,34,0.4411764705882353,0.3970891850836137,5.042707598822667
train,Tanker,Tanker/8.wav,8,0.0,0.3484613932669163,5.150476050299744
train,Tanker,Tanker/9.wav,3,0.0,0.40193894505500793,4.369372076634434
train,Tug,Tug/49.wav,38,1.0,0.8720711704931761,3.323074849129018
validation,Cargo,Cargo/62.wav,39,0.5384615384615384,0.41889378810540223,4.5926074609345635
validation,Cargo,Cargo/78.wav,38,0.7368421052631579,0.3843554470099901,3.0895947474461014
validation,Passengership,Passengership/29.wav,7,0.42857142857142855,0.3619281607014792,6.514482390305448
validation,Passengership,Passengership/9.wav,2,0.0,0.3150016963481903,12.576254072924197
validation,Tanker,Tanker/18.wav,13,0.46153846153846156,0.32982845719044024,9.288895936934379
validation,Tanker,Tanker/41.wav,8,0.0,0.36282267794013023,4.538399374691749
validation,Tanker,Tanker/48.wav,7,0.0,0.39019631487982614,3.3445748694477246
validation,Tug,Tug/9.wav,40,0.2,0.3459338240325451,10.11342445204503
