split,threshold,precision,recall
validation,0.009328046813607216,0.2597402597402597,1.0
validation,0.009573264047503471,0.26143790849673204,1.0
validation,0.00959989707916975,0.2631578947368421,1.0
validation,0.009660503827035427,0.26490066225165565,1.0
validation,0.009999154135584831,0.26666666666666666,1.0
validation,0.01007026620209217,0.2684563758389262,1.0
validation,0.010300393216311932,0.2702702702702703,1.0
validation,0.010363375768065453,0.272108843537415,1.0
validation,0.01041995920240879,0.273972602739726,1.0
validation,0.010440976358950138,0.27586206896551724,1.0
validation,0.010447892360389233,0.2777777777777778,1.0
validation,0.010649160481989384,0.27972027972027974,1.0
validation,0.010715518146753311,0.28169014084507044,1.0
validation,0.01071870420128107,0.28368794326241137,1.0
validation,0.010721159167587757,0.2857142857142857,1.0
validation,0.010736923664808273,0.28776978417266186,1.0
validation,0.010800657793879509,0.2898550724637681,1.0
validation,0.010884393937885761,0.291970802919708,1.0
validation,0.011059143580496311,0.29411764705882354,1.0
validation,0.011328909546136856,0.2962962962962963,1.0
validation,0.011333831585943699,0.29850746268656714,1.0
validation,0.011420893482863903,0.3007518796992481,1.0
validation,0.011625236831605434,0.30303030303030304,1.0
validation,0.011726685799658298,0.3053435114503817,1.0
validation,0.011753691360354424,0.3076923076923077,1.0
validation,0.011837908998131752,0.31007751937984496,1.0
validation,0.011843208223581314,0.3125,1.0
validation,0.011966973543167114,0.31496062992125984,1.0
validation,0.011973975226283073,0.31746031746031744,1.0
validation,0.01205266173928976,0.32,1.0
validation,0.012178698554635048,0.3225806451612903,1.0
validation,0.012265222147107124,0.3252032520325203,1.0
validation,0.012426912784576416,0.32786885245901637,1.0
validation,0.012542392127215862,0.3305785123966942,1.0
validation,0.012817902490496635,0.3333333333333333,1.0
validation,0.012826276943087578,0.33613445378151263,1.0
validation,0.01286338735371828,0.3389830508474576,1.0
validation,0.012987038120627403,0.3418803418803419,1.0
validation,0.01311031635850668,0.3448275862068966,1.0
validation,0.013194829225540161,0.34782608695652173,1.0
validation,0.013244377449154854,0.3508771929824561,1.0
validation,0.014089830219745636,0.35398230088495575,1.0
validation,0.014232770539820194,0.35714285714285715,1.0
validation,0.014522414654493332,0.36036036036036034,1.0
validation,0.014614091254770756,0.36363636363636365,1.0
validation,0.014624126255512238,0.3669724770642202,1.0
validation,0.014745471067726612,0.37037037037037035,1.0
validation,0.014931692741811275,0.37383177570093457,1.0
validation,0.014959348365664482,0.37735849056603776,1.0
validation,0.015087305568158627,0.38095238095238093,1.0
validation,0.015581660903990269,0.38461538461538464,1.0
validation,0.015608320012688637,0.3883495145631068,1.0
validation,0.01651323027908802,0.39215686274509803,1.0
validation,0.01693781465291977,0.39603960396039606,1.0
validation,0.016942530870437622,0.4,1.0
validation,0.017538022249937057,0.40404040404040403,1.0
validation,0.01758081093430519,0.40816326530612246,1.0
validation,0.018283424898982048,0.41237113402061853,1.0
validation,0.018818413838744164,0.4166666666666667,1.0
validation,0.018980445340275764,0.42105263157894735,1.0
validation,0.018988490104675293,0.425531914893617,1.0
validation,0.01901615411043167,0.43010752688172044,1.0
validation,0.0192820206284523,0.43478260869565216,1.0
validation,0.019774293527007103,0.43956043956043955,1.0
validation,0.020206710323691368,0.4444444444444444,1.0
validation,0.020282495766878128,0.449438202247191,1.0
validation,0.02031657285988331,0.45454545454545453,1.0
validation,0.020497078076004982,0.45977011494252873,1.0
validation,0.020778657868504524,0.46511627906976744,1.0
validation,0.02093111351132393,0.47058823529411764,1.0
validation,0.0213856790214777,0.47619047619047616,1.0
validation,0.02164156548678875,0.4819277108433735,1.0
validation,0.02174372598528862,0.4878048780487805,1.0
validation,0.02207043766975403,0.49382716049382713,1.0
validation,0.02253817394375801,0.5,1.0
validation,0.02259061671793461,0.5063291139240507,1.0
validation,0.022625936195254326,0.5128205128205128,1.0
validation,0.023198697715997696,0.5194805194805194,1.0
validation,0.023220492526888847,0.5263157894736842,1.0
validation,0.02346206270158291,0.5333333333333333,1.0
validation,0.023531462997198105,0.5405405405405406,1.0
validation,0.023608777672052383,0.547945205479452,1.0
validation,0.024119125679135323,0.5555555555555556,1.0
validation,0.02416086383163929,0.5633802816901409,1.0
validation,0.025066331028938293,0.5714285714285714,1.0
validation,0.02522580325603485,0.5797101449275363,1.0
validation,0.02608432061970234,0.5882352941176471,1.0
validation,0.02674049511551857,0.5970149253731343,1.0
validation,0.027982225641608238,0.6060606060606061,1.0
validation,0.029045524075627327,0.6153846153846154,1.0
validation,0.02925848960876465,0.625,1.0
validation,0.030184943228960037,0.6349206349206349,1.0
validation,0.03143526613712311,0.6451612903225806,1.0
validation,0.03196623548865318,0.6557377049180327,1.0
validation,0.032719120383262634,0.6666666666666666,1.0
validation,0.03784435987472534,0.6779661016949152,1.0
validation,0.03856722265481949,0.6896551724137931,1.0
validation,0.04103909060359001,0.7017543859649122,1.0
validation,0.041928086429834366,0.7142857142857143,1.0
validation,0.047390881925821304,0.7272727272727273,1.0
validation,0.054822053760290146,0.7222222222222222,0.975
validation,0.0637214258313179,0.7169811320754716,0.95
validation,0.07665857672691345,0.7307692307692307,0.95
validation,0.08501709997653961,0.7450980392156863,0.95
validation,0.08830481022596359,0.76,0.95
validation,0.08898437023162842,0.7551020408163265,0.925
validation,0.09782955050468445,0.75,0.9
validation,0.10294903814792633,0.7446808510638298,0.875
validation,0.1030067652463913,0.7608695652173914,0.875
validation,0.10397383570671082,0.7777777777777778,0.875
validation,0.1064075231552124,0.7727272727272727,0.85
validation,0.10840868949890137,0.7674418604651163,0.825
validation,0.11545152962207794,0.7857142857142857,0.825
validation,0.12673577666282654,0.7804878048780488,0.8
validation,0.13160477578639984,0.8,0.8
validation,0.13173644244670868,0.8205128205128205,0.8
validation,0.13280418515205383,0.8421052631578947,0.8
validation,0.135634183883667,0.8378378378378378,0.775
validation,0.14527349174022675,0.8333333333333334,0.75
validation,0.1515357941389084,0.8285714285714286,0.725
validation,0.15792354941368103,0.8235294117647058,0.7
validation,0.16742847859859467,0.8181818181818182,0.675
validation,0.16920624673366547,0.8125,0.65
validation,0.17538189888000488,0.8064516129032258,0.625
validation,0.17698603868484497,0.8,0.6
validation,0.19314217567443848,0.7931034482758621,0.575
validation,0.19470001757144928,0.7857142857142857,0.55
validation,0.19496965408325195,0.8148148148148148,0.55
validation,0.2021758258342743,0.8076923076923077,0.525
validation,0.2068163901567459,0.8,0.5
validation,0.20877312123775482,0.7916666666666666,0.475
validation,0.2133340686559677,0.782608695652174,0.45
validation,0.218404620885849,0.7727272727272727,0.425
validation,0.22021639347076416,0.7619047619047619,0.4
validation,0.22687184810638428,0.75,0.375
validation,0.22693918645381927,0.7368421052631579,0.35
validation,0.23393777012825012,0.7222222222222222,0.325
validation,0.23556017875671387,0.7058823529411765,0.3
validation,0.23611894249916077,0.75,0.3
validation,0.23779965937137604,0.8,0.3
validation,0.259430468082428,0.7857142857142857,0.275
validation,0.26525062322616577,0.8461538461538461,0.275
validation,0.27250030636787415,0.8333333333333334,0.25
validation,0.27279484272003174,0.9090909090909091,0.25
validation,0.28060489892959595,0.9,0.225
validation,0.32142049074172974,0.8888888888888888,0.2
validation,0.3220802843570709,0.875,0.175
validation,0.33546000719070435,0.8571428571428571,0.15
validation,0.3383557200431824,0.8333333333333334,0.125
validation,0.3424759805202484,0.8,0.1
validation,0.3449954390525818,0.75,0.075
validation,0.36012545228004456,1.0,0.075
validation,0.40363362431526184,1.0,0.05
validation,0.5120353102684021,1.0,0.025
validation,,1.0,0.0
test,0.014855140820145607,0.2962962962962963,1.0
test,0.01579781249165535,0.29850746268656714,1.0
test,0.017098670825362206,0.3007518796992481,1.0
test,0.017636679112911224,0.30303030303030304,1.0
test,0.017703456804156303,0.3053435114503817,1.0
test,0.017750123515725136,0.3076923076923077,1.0
test,0.017892559990286827,0.31007751937984496,1.0
test,0.017926054075360298,0.3125,1.0
test,0.018151454627513885,0.31496062992125984,1.0
test,0.018547864630818367,0.31746031746031744,1.0
test,0.018787145614624023,0.32,1.0
test,0.01929352432489395,0.3225806451612903,1.0
test,0.01943616382777691,0.3252032520325203,1.0
test,0.020547186955809593,0.32786885245901637,1.0
test,0.020572949200868607,0.3305785123966942,1.0
test,0.02069302462041378,0.3333333333333333,1.0
test,0.021187037229537964,0.33613445378151263,1.0
test,0.02150176279246807,0.3389830508474576,1.0
test,0.021627182140946388,0.3418803418803419,1.0
test,0.021657977253198624,0.3448275862068966,1.0
test,0.021928323432803154,0.34782608695652173,1.0
test,0.022132625803351402,0.3508771929824561,1.0
test,0.02243841253221035,0.35398230088495575,1.0
test,0.022483333945274353,0.35714285714285715,1.0
test,0.022529326379299164,0.36036036036036034,1.0
test,0.022688720375299454,0.36363636363636365,1.0
test,0.02274906076490879,0.3669724770642202,1.0
test,0.023675382137298584,0.37037037037037035,1.0
test,0.024262933060526848,0.37383177570093457,1.0
test,0.024360399693250656,0.37735849056603776,1.0
test,0.024457795545458794,0.38095238095238093,1.0
test,0.024512749165296555,0.38461538461538464,1.0
test,0.024890387430787086,0.3883495145631068,1.0
test,0.024901555851101875,0.39215686274509803,1.0
test,0.024903245270252228,0.39603960396039606,1.0
test,0.025040993466973305,0.4,1.0
test,0.025261638686060905,0.40404040404040403,1.0
test,0.025533102452754974,0.40816326530612246,1.0
test,0.026036115363240242,0.41237113402061853,1.0
test,0.026076890528202057,0.4166666666666667,1.0
test,0.026503602042794228,0.42105263157894735,1.0
test,0.02654697187244892,0.425531914893617,1.0
test,0.026997815817594528,0.43010752688172044,1.0
test,0.027179362252354622,0.43478260869565216,1.0
test,0.027945291250944138,0.43956043956043955,1.0
test,0.028214041143655777,0.4444444444444444,1.0
test,0.028455322608351707,0.449438202247191,1.0
test,0.028968671336770058,0.45454545454545453,1.0
test,0.029132666066288948,0.45977011494252873,1.0
test,0.029432225972414017,0.46511627906976744,1.0
test,0.029956145212054253,0.47058823529411764,1.0
test,0.030025534331798553,0.47619047619047616,1.0
test,0.030230065807700157,0.4819277108433735,1.0
test,0.03033333644270897,0.4878048780487805,1.0
test,0.03055417723953724,0.49382716049382713,1.0
test,0.03114568069577217,0.5,1.0
test,0.031236769631505013,0.5063291139240507,1.0
test,0.031248850747942924,0.5128205128205128,1.0
test,0.03126377612352371,0.5194805194805194,1.0
test,0.03134391829371452,0.5263157894736842,1.0
test,0.03137189522385597,0.5333333333333333,1.0
test,0.031538113951683044,0.5405405405405406,1.0
