baseline_rss_bytes,first_full_pipeline_ms,first_inference_ms,full_pipeline_rss_increase_bytes,load_ms,load_rss_increase_bytes,peak_rss_bytes,process_id,rss_after_full_pipeline_bytes,rss_after_inference_bytes,rss_after_load_bytes,runtime,startup_import_ms,run_index,process_total_ms
295010304,8.5855,2.55325,22757376,8.575333,1556480,318078976,74322,317767680,300646400,296566784,pytorch,2247.786292,0,2704.768917
308035584,7.886042,1.976958,23003136,3.212375,1523712,331038720,74336,331038720,313540608,309559296,pytorch,1259.565417,1,1611.408209
291880960,7.521833,1.868291,22085632,3.232417,1458176,313966592,74348,313966592,297402368,293339136,pytorch,1277.309042,2,1631.168208
268599296,8.204291,2.403209,24903680,3.542792,1900544,293502976,74359,293502976,274907136,270499840,pytorch,1385.924166,3,1750.111458
308166656,8.628542,2.286291,22921216,4.120458,1523712,331169792,74370,331087872,313638912,309690368,pytorch,1280.557625,4,1652.875583
282820608,8.037667,2.13575,20938752,3.549,1753088,304709632,74380,303759360,288833536,284573696,pytorch,1339.346,5,1673.551916
307953664,7.366417,1.86025,22953984,2.99275,1507328,330907648,74392,330907648,313393152,309460992,pytorch,1177.13425,6,1455.338792
307642368,6.160334,1.6485,22937600,2.817208,1556480,330579968,74402,330579968,313147392,309198848,pytorch,997.120625,7,1284.725917
297795584,6.501292,1.776834,18071552,2.838709,1589248,316850176,74411,315867136,303153152,299384832,pytorch,1043.1005,8,1323.979708
307822592,6.089959,1.674666,22970368,2.690875,1523712,330792960,74420,330792960,313278464,309346304,pytorch,991.217458,9,1279.965208
296910848,6.974334,1.865875,6881280,2.877166,1589248,307445760,74431,303792128,302530560,298500096,pytorch,1027.091209,10,1330.159792
307806208,6.391542,1.690417,22396928,2.871416,1556480,330203136,74441,330203136,313311232,309362688,pytorch,987.154125,11,1274.377041
307920896,6.742542,1.903916,22921216,3.699458,1474560,330842112,74450,330842112,313360384,309395456,pytorch,973.012459,12,1262.795334
308035584,5.867375,1.5895,23019520,2.663084,1523712,331055104,74459,331055104,313507840,309559296,pytorch,982.820333,13,1266.261041
307806208,6.140166,1.628667,22986752,3.320958,1572864,330792960,74470,330792960,313344000,309379072,pytorch,997.451125,14,1292.132167
307937280,6.879,1.600333,22953984,2.647625,1507328,330891264,74479,330891264,313393152,309444608,pytorch,974.145208,15,1257.481083
307855360,6.110375,1.778583,22380544,2.659875,1490944,330235904,74489,330235904,313278464,309346304,pytorch,973.860958,16,1254.238292
308084736,6.898958,1.651875,22921216,2.602333,1523712,331005952,74498,331005952,313556992,309608448,pytorch,991.78525,17,1272.51825
300089344,8.010583,1.8345,10813440,3.571042,1507328,317931520,74509,310902784,305528832,301596672,pytorch,1010.742792,18,1326.673375
301662208,6.318625,1.640917,16924672,2.731291,1605632,321601536,74520,318586880,307265536,303267840,pytorch,1084.685875,19,1379.292083
307953664,7.293541,6.087417,41779200,148.763833,19611648,349732864,74530,349732864,328400896,327565312,onnxruntime,999.16275,0,1477.162625
306364416,6.173625,0.936958,33800192,16.543375,12320768,340377600,74541,340164608,319537152,318685184,onnxruntime,1073.563958,1,1388.515833
308117504,6.467416,1.018167,41680896,17.647667,19496960,349798400,74552,349798400,328450048,327614464,onnxruntime,1065.434666,2,1383.877875
289325056,7.210083,1.033208,37437440,17.724292,14565376,326762496,74561,326762496,304758784,303890432,onnxruntime,1130.164042,3,1433.97475
307806208,6.220291,1.039375,41730048,16.181458,19611648,349536256,74570,349536256,328253440,327417856,onnxruntime,1007.723333,4,1298.580375
288194560,6.937584,1.070375,29671424,17.340875,8388608,317865984,74579,317865984,295714816,296583168,onnxruntime,1013.362625,5,1328.580625
307789824,6.7295,0.968209,41762816,16.568083,19628032,349552640,74592,349552640,328253440,327417856,onnxruntime,972.135791,6,1293.593208
308002816,6.400958,0.910584,41811968,16.914542,19628032,349814784,74601,349814784,328466432,327630848,onnxruntime,999.934375,7,1311.290667
299237376,7.242125,1.009833,32997376,16.458,14778368,334987264,74610,332234752,314884096,314015744,onnxruntime,995.906167,8,2089.802667
308068352,7.4495,1.021209,41467904,17.332209,19398656,349536256,74619,349536256,328302592,327467008,onnxruntime,1093.649584,9,1514.977959
277430272,10.12225,1.5315,43122688,23.205209,19677184,320552960,74630,320552960,298008576,297107456,onnxruntime,1388.347875,10,2179.489125
262881280,90.798709,7.414042,37339136,28.990666,20037632,303169536,74646,300220416,283836416,282918912,onnxruntime,3224.47225,11,3785.808541
272793600,9.136125,1.048792,43237376,21.454708,19693568,316030976,74683,316030976,293388288,292487168,onnxruntime,1982.12375,12,2310.62725
282738688,8.39075,1.075666,40714240,21.050333,19333120,323485696,74694,323452928,302891008,302071808,onnxruntime,1517.516583,13,1880.2185
273006592,8.85975,1.292458,43581440,28.5555,20004864,316588032,74705,316588032,293896192,293011456,onnxruntime,1650.262666,14,2010.128333
286179328,8.274792,1.13175,40960000,20.378375,18710528,327139328,74714,327139328,305397760,304889856,onnxruntime,1453.734708,15,1830.652958
308002816,6.266125,0.97325,41582592,16.829959,19480576,349585408,74725,349585408,328318976,327483392,onnxruntime,1030.875834,16,1368.680209
281952256,8.493041,1.494167,42336256,24.373958,19087360,324288512,74735,324288512,301924352,301039616,onnxruntime,1224.32625,17,1542.843042
286572544,6.967375,0.942875,42582016,17.703291,20037632,329154560,74746,329154560,307445760,306610176,onnxruntime,1373.045125,18,1680.780833
272318464,7.763333,1.212458,43515904,18.487625,19939328,315834368,74755,315834368,293142528,292257792,onnxruntime,1181.377916,19,1547.382166
