split,variant,true_class,predicted_class,count
validation,fp32,Cargo,Cargo,49
validation,fp32,Cargo,Passengership,0
validation,fp32,Cargo,Tanker,28
validation,fp32,Cargo,Tug,0
validation,fp32,Passengership,Cargo,5
validation,fp32,Passengership,Passengership,3
validation,fp32,Passengership,Tanker,0
validation,fp32,Passengership,Tug,1
validation,fp32,Tanker,Cargo,22
validation,fp32,Tanker,Passengership,0
validation,fp32,Tanker,Tanker,6
validation,fp32,Tanker,Tug,0
validation,fp32,Tug,Cargo,4
validation,fp32,Tug,Passengership,0
validation,fp32,Tug,Tanker,28
validation,fp32,Tug,Tug,8
validation,dynamic_int8,Cargo,Cargo,49
validation,dynamic_int8,Cargo,Passengership,0
validation,dynamic_int8,Cargo,Tanker,28
validation,dynamic_int8,Cargo,Tug,0
validation,dynamic_int8,Passengership,Cargo,5
validation,dynamic_int8,Passengership,Passengership,3
validation,dynamic_int8,Passengership,Tanker,0
validation,dynamic_int8,Passengership,Tug,1
validation,dynamic_int8,Tanker,Cargo,22
validation,dynamic_int8,Tanker,Passengership,0
validation,dynamic_int8,Tanker,Tanker,6
validation,dynamic_int8,Tanker,Tug,0
validation,dynamic_int8,Tug,Cargo,4
validation,dynamic_int8,Tug,Passengership,0
validation,dynamic_int8,Tug,Tanker,28
validation,dynamic_int8,Tug,Tug,8
validation,static_int8,Cargo,Cargo,53
validation,static_int8,Cargo,Passengership,0
validation,static_int8,Cargo,Tanker,24
validation,static_int8,Cargo,Tug,0
validation,static_int8,Passengership,Cargo,6
validation,static_int8,Passengership,Passengership,2
validation,static_int8,Passengership,Tanker,0
validation,static_int8,Passengership,Tug,1
validation,static_int8,Tanker,Cargo,22
validation,static_int8,Tanker,Passengership,0
validation,static_int8,Tanker,Tanker,6
validation,static_int8,Tanker,Tug,0
validation,static_int8,Tug,Cargo,4
validation,static_int8,Tug,Passengership,0
validation,static_int8,Tug,Tanker,28
validation,static_int8,Tug,Tug,8
test,fp32,Cargo,Cargo,0
test,fp32,Cargo,Passengership,0
test,fp32,Cargo,Tanker,37
test,fp32,Cargo,Tug,0
test,fp32,Passengership,Cargo,0
test,fp32,Passengership,Passengership,0
test,fp32,Passengership,Tanker,45
test,fp32,Passengership,Tug,0
test,fp32,Tanker,Cargo,4
test,fp32,Tanker,Passengership,0
test,fp32,Tanker,Tanker,9
test,fp32,Tanker,Tug,0
test,fp32,Tug,Cargo,1
test,fp32,Tug,Passengership,0
test,fp32,Tug,Tanker,39
test,fp32,Tug,Tug,0
test,dynamic_int8,Cargo,Cargo,0
test,dynamic_int8,Cargo,Passengership,0
test,dynamic_int8,Cargo,Tanker,37
test,dynamic_int8,Cargo,Tug,0
test,dynamic_int8,Passengership,Cargo,0
test,dynamic_int8,Passengership,Passengership,0
test,dynamic_int8,Passengership,Tanker,45
test,dynamic_int8,Passengership,Tug,0
test,dynamic_int8,Tanker,Cargo,4
test,dynamic_int8,Tanker,Passengership,0
test,dynamic_int8,Tanker,Tanker,9
test,dynamic_int8,Tanker,Tug,0
test,dynamic_int8,Tug,Cargo,1
test,dynamic_int8,Tug,Passengership,0
test,dynamic_int8,Tug,Tanker,39
test,dynamic_int8,Tug,Tug,0
test,static_int8,Cargo,Cargo,0
test,static_int8,Cargo,Passengership,0
test,static_int8,Cargo,Tanker,37
test,static_int8,Cargo,Tug,0
test,static_int8,Passengership,Cargo,0
test,static_int8,Passengership,Passengership,0
test,static_int8,Passengership,Tanker,45
test,static_int8,Passengership,Tug,0
test,static_int8,Tanker,Cargo,4
test,static_int8,Tanker,Passengership,0
test,static_int8,Tanker,Tanker,9
test,static_int8,Tanker,Tug,0
test,static_int8,Tug,Cargo,1
test,static_int8,Tug,Passengership,0
test,static_int8,Tug,Tanker,39
test,static_int8,Tug,Tug,0
